categoria,nombre,descripcion,precio,precio2,etiqueta2,disponible,orden,alergenos,foto
Menús que no fallan,Secreto a baja temperatura,Con cebolla caramelizada y patatas a lo pobre,12.15,,,SI,12,,
El final feliz,Chocolate blanco y pistacho,,3.70,,,SI,1,"L,FS",postre_chocolate_blanco_pistacho.png
El final feliz,Natilla y canela,,3.70,,,SI,2,"L,H",postre_natilla_canela.png
El final feliz,Griego de manzana y mango,,3.70,,,SI,3,L,postre_griego_manzana_mango.png
El final feliz,Doble Lotus,,3.70,,,SI,4,"G,L",postre_doble_lotus.png
El final feliz,Chocolate tres texturas,,3.70,,,SI,5,L,postre_chocolate_tres_texturas.png
El final feliz,"Tocino de cielo, nata y nueces",,3.70,,,SI,6,"H,L,FS",postre_tocino_cielo_nata_nueces.png
El final feliz,Queso ricota y frutas del bosque,,3.70,,,SI,7,L,postre_queso_ricota_frutas_bosque.png
El final feliz,"Limón, merengue y milhojas",,3.70,,,SI,8,"G,H,L",postre_limon_merengue_milhojas.png
El final feliz,Músico al caramelo,,3.70,,,SI,9,"FS,L",postre_musico_caramelo.png
El final feliz,Pedro Ximénez y crumble de mantequilla,,3.70,,,SI,10,"G,L,SO",postre_pedro_ximenez_crumble.png
El final feliz,Turrón,,3.70,,,SI,11,"FS,L",postre_turron.png
Para brindar,Vino blanco (copa),,2.50,,,SI,1,SO,
Para brindar,Vino blanco (botella),,12.00,,,SI,2,SO,
Para brindar,Vino tinto (copa),,2.50,,,SI,3,SO,
Para brindar,Vino tinto (botella),,12.00,,,SI,4,SO,
Para brindar,Tinto de verano,,2.00,,,SI,5,SO,
Para brindar,Cerveza cortada,,1.80,,,SI,6,G,
Para brindar,Cerveza entera,,2.50,,,SI,7,G,
Para brindar,Tercio,,2.10,,,SI,8,G,
Para brindar,Refrescos,,2.00,,,SI,9,,
Para brindar,Lipton,,2.20,,,SI,10,,
Para brindar,Lipton maracuyá,,2.20,,,SI,11,,
Para brindar,Aquarius naranja,,2.20,,,SI,12,,
Para brindar,Aquarius limón,,2.20,,,SI,13,,
Para brindar,Zumos,,1.80,,,SI,14,,
Para brindar,"Agua 0,5L",,1.20,,,SI,15,,
Para brindar,Agua 1L,,2.20,,,SI,16,,
Para brindar,Café,,1.50,,,SI,17,,
Salsas a elegir,Mojo picón,Suplemento,0.40,,,SI,1,,
Salsas a elegir,Barbacoa,Suplemento,0.40,,,SI,2,,
Salsas a elegir,Salsa verde,Suplemento,0.40,,,SI,3,,
Salsas a elegir,Salsa alioli,Suplemento,0.40,,,SI,4,H,
